District/Neighborhood,Requesting Business,Rack Address,Application Date,Approved?,Approval Date?,Built?,Number of Racks Proposed,Number of Racks Built,Current State,Notes/Images,,,,,,,
D5,"1919 Market, LP","1919 Market St, Philadelphia, PA 19103",11/12/2014,FALSE,,TRUE,4,0,Unknown,"The included plans depict four racks, three on Market and one on 20th. A review of street view on google maps suggests that most were never installed or have been removed.",,,,,,,
D7,"Tajdeed Development Associats, LP","1505 Cadwallader St, Philadelphia, PA 19122",2014,FALSE,,TRUE,1,0,Unknown,The document provided was only a single letter indicating deficiencies in the application. Google maps does show a single rack here.,,,,,,,
D7,"Tajdeed Development Associats, LP","246 W Oxford St, Philadelphia, PA 19122",2014,FALSE,,TRUE,4,0,Unknown,The document provided was only a single letter indicating deficiencies in the application. Google maps does show racks at this location. Two on W Oxford street and two more visible from N Bodine in the parking area for this project.,,,,,,,
D1,"East Firth Street, LP","801 N 2nd St, Philadelphia, PA 19123",5/28/2014,FALSE,,TRUE,8,0,Unknown,"It appears these were built as designed based on street view from 2015, but current conditions appear to differ. From street view dated 2022, it looks like there are four U racks on Brown St and a spiral rack on 2nd instead of the 8 U racks previously installed as a part of this project.",,,,,,,
D3,The Study at University City,"20 S 33rd St, Philadelphia, PA 19104",9/29/2014,FALSE,,TRUE,7,0,Unknown,"It's difficult to get a count from street view with parked cars obscuring the racks, but the current conditions bear little resemblance to the 2014 plans that proposed only 7 racks. It looks like there are 30+ at this property.",,,,,,,
D4/West Philly,Wynne Senior Residences,"2003 N 54th St, Philadelphia PA 19131",7/22/2015,TRUE,10/15/2015,TRUE,9,3,Operational,9 proposed but looks like only 3 built,,,,,,,
D5/Center City,W Hotel,"1441 Chestnut St, Philadelphia PA 19102",8/19/15,TRUE,11/25/2015,TRUE,2,2,Operational,,,,,,,,
D1/Northern Liberties,Northern Liberties Piazza,"145 West Wildey St, Philadelphia PA  19123",1/26/2015,TRUE,3/9/2015,TRUE,4,2,Operational,"4 proposed, but I could only get eyes on 2 so putting 2 to be conservative",,,,,,,
D3/University City,University City Science Center,"3601 Market St, Philadelphia PA 19104",3/12/2015,TRUE,5/27/2015,TRUE,12,10,Operational,12 proposed 10 built,,,,,,,
D3/University City,University of Pennsylvania,"3600 Spruce St, Philadelphia PA 19104",12/15/2014,TRUE,1/30/15,FALSE,0,0,Never Built,"Can't find evidence that they planned racks, don't see any there now",,,,,,,
D3/University City,,"3600 Civic Center Boulevard, Philadelphia PA 19104",1/9/2015,TRUE,2/19/2015,TRUE,17,17,Operational,"Despite more construction on the block, they are still there and operational - they are actually on West Service Dr.",,,,,,,
D3/University City,Radnor Property Group,"3201 Race Street, Philadelphia PA 19104",11/30/2015,TRUE,,TRUE,5,5,Operational,"No approval document, but they are built",,,,,,,
D1/Kensington,Orinoka Civic House,"2721 Ruth Street, Philadelphia PA 19134",12/16/2015,TRUE,,TRUE,10,10,Operational,"Couldn't get eyes on all 10 but saw at least 5, didn't see approval doc",,,,,,,
