District/Neighborhood,Requesting Business,Rack Address,Application Date,Approved?,Approval Date?,Built?,Number of Racks,Current State,Notes/Images
D1/Old City,300 columbus llc,"300 N Christopher Columbus Blvd, Philadelphia, PA 19106, United States",8/6/2021,TRUE,10/14/2021,FALSE,18,Never Built,"maybe if the project proceeds these will be built, nothing so far"
D5/Poplar,601 Chestach LLC,"601 Spring Garden St, Philadelphia, PA 19123, United States",5/19/2020,TRUE,4/16/2021,TRUE,2,Operational,"10 proposed, 2 built"
D1/Northern Liberties,Northern Liberties Nieghboors Association,"700 N 3rd St, Philadelphia, PA 19123",9/25/2020,TRUE,4/27/2021,TRUE,1,Operational,"4 proposed, 1 built"
D1/Center City,PPA,"701 Market St, Philadelphia, PA 19106",7/16/2018,FALSE,,FALSE,,Unknown,"not an application, but a withrawl of application, racks built outside of ROW"
D5/Olde Kensignton,Middle Child Clubhouse,"1232 N Front St, Philadelphia, PA 19122",3/3/2021,TRUE,4/27/2021,FALSE,9,Never Built,"would have been great to have these, not sure what happened"
D5/Francisville,Muse Yoga and Fitness,"1513 Ridge Ave, Philadelphia, PA 19130",6/14/2021,FALSE,,TRUE,3,Operational,good condition! yay
D1/Center City,Bailey Chestnut Partners,"1218 Chestnut St, Philadelphia, PA 19107",5/13/21,TRUE,5/26/2021,TRUE,5,Operational,"very heavily used, quickly approved"
,,,,FALSE,,FALSE,,Unknown,
,,,,FALSE,,FALSE,,Unknown,
,,,,FALSE,,FALSE,,Unknown,
,,,,FALSE,,FALSE,,Unknown,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
,,,,FALSE,,FALSE,,,
